,Grand Prix,Driver,Car,Time,year,Code
0,Great Britain,Nino  Farina ,Alfa Romeo,1:50.600,1950,FAR
1,Monaco,Juan Manuel  Fangio ,Alfa Romeo,1:51.000,1950,FAN
2,Switzerland,Nino  Farina ,Alfa Romeo,2:41.600,1950,FAR
3,Belgium,Nino  Farina ,Alfa Romeo,4:34.100,1950,FAR
4,France,Juan Manuel  Fangio ,Alfa Romeo,2:35.600,1950,FAN
5,Italy,Juan Manuel  Fangio ,Alfa Romeo,2:00.000,1950,FAN
6,Switzerland,Juan Manuel  Fangio ,Alfa Romeo,2:51.100,1951,FAN
7,Indianapolis 500,Lee  Wallard ,Kurtis Kraft Offenhauser,1:07.260,1951,WAL
8,Belgium,Juan Manuel  Fangio ,Alfa Romeo,4:22.100,1951,FAN
9,France,Juan Manuel  Fangio ,Alfa Romeo,2:27.800,1951,FAN
10,Great Britain,Nino  Farina ,Alfa Romeo,1:44.000,1951,FAR
11,Germany,Juan Manuel  Fangio ,Alfa Romeo,9:55.800,1951,FAN
12,Italy,Nino  Farina ,Alfa Romeo,1:56.500,1951,FAR
13,Spain,Juan Manuel  Fangio ,Alfa Romeo,2:16.930,1951,FAN
14,Switzerland,Piero Taruffi ,Ferrari,2:49.100,1952,TAR
15,Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:06.600,1952,VUK
16,Belgium,Alberto  Ascari ,Ferrari,4:55.000,1952,ASC
17,France,Alberto  Ascari ,Ferrari,2:17.300,1952,ASC
18,Great Britain,Alberto  Ascari ,Ferrari,1:52.000,1952,ASC
19,Germany,Alberto  Ascari ,Ferrari,10:05.100,1952,ASC
20,Netherlands,Alberto  Ascari ,Ferrari,1:49.800,1952,ASC
21,Italy,Alberto  Ascari ,Ferrari,2:06.100,1952,ASC
22,Argentina,Alberto  Ascari ,Ferrari,1:48.400,1953,ASC
23,Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:06.240,1953,VUK
24,Netherlands,Luigi Villoresi ,Ferrari,1:52.800,1953,VIL
25,Belgium,Jose Froilan  Gonzalez ,Maserati,4:34.000,1953,GON
26,France,Juan Manuel  Fangio ,Maserati,2:41.100,1953,FAN
27,Great Britain,Alberto  Ascari ,Ferrari,1:50.000,1953,ASC
28,Germany,Alberto  Ascari ,Ferrari,9:56.000,1953,ASC
29,Switzerland,Alberto  Ascari ,Ferrari,2:41.300,1953,ASC
30,Italy,Juan Manuel  Fangio ,Maserati,2:04.500,1953,FAN
31,Argentina,Jose Froilan  Gonzalez ,Ferrari,1:48.200,1954,GON
32,Indianapolis 500,Jack  McGrath ,Kurtis Kraft Offenhauser,1:04.040,1954,MCG
33,Belgium,Juan Manuel  Fangio ,Maserati,4:25.500,1954,FAN
34,France,Hans Herrmann ,Mercedes-Benz,2:32.900,1954,HER
35,Great Britain,Alberto  Ascari ,Maserati,1:50.000,1954,ASC
36,Germany,Karl  Kling ,Mercedes-Benz,9:55.100,1954,KLI
37,Switzerland,Juan Manuel  Fangio ,Mercedes-Benz,2:39.700,1954,FAN
38,Italy,Jose Froilan  Gonzalez ,Ferrari,2:00.800,1954,GON
39,Spain,Alberto  Ascari ,Lancia,2:20.400,1954,ASC
40,Argentina,Juan Manuel  Fangio ,Mercedes-Benz,1:48.300,1955,FAN
41,Monaco,Juan Manuel  Fangio ,Mercedes-Benz,1:42.400,1955,FAN
42,Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:03.670,1955,VUK
43,Belgium,Juan Manuel  Fangio ,Mercedes-Benz,4:20.600,1955,FAN
44,Netherlands,Roberto  Mieres ,Maserati,1:40.900,1955,MIE
45,Great Britain,Stirling  Moss ,Mercedes-Benz,2:00.400,1955,MOS
46,Italy,Stirling  Moss ,Mercedes-Benz,2:46.900,1955,MOS
47,Argentina,Juan Manuel  Fangio ,Ferrari,1:45.300,1956,FAN
48,Monaco,Juan Manuel  Fangio ,Ferrari,1:44.400,1956,FAN
49,Indianapolis 500,Paul  Russo ,Kurtis Kraft Novi,1:02.320,1956,RUS
50,Belgium,Stirling  Moss ,Maserati,4:14.700,1956,MOS
51,France,Juan Manuel  Fangio ,Ferrari,2:25.800,1956,FAN
52,Great Britain,Stirling  Moss ,Maserati,1:43.200,1956,MOS
53,Germany,Juan Manuel  Fangio ,Ferrari,9:41.600,1956,FAN
54,Italy,Stirling  Moss ,Maserati,2:45.500,1956,MOS
55,Argentina,Stirling  Moss ,Maserati,1:44.700,1957,MOS
56,Monaco,Juan Manuel  Fangio ,Maserati,1:45.600,1957,FAN
57,Indianapolis 500,Jim  Rathmann ,Epperly Offenhauser,1:02.750,1957,RAT
58,France,Luigi  Musso ,Ferrari,2:22.400,1957,MUS
59,Great Britain,Stirling  Moss ,Vanwall,1:59.200,1957,MOS
60,Germany,Juan Manuel  Fangio ,Maserati,9:17.400,1957,FAN
61,Pescara,Stirling  Moss ,Vanwall,9:44.600,1957,MOS
62,Italy,Tony  Brooks ,Vanwall,1:43.700,1957,BRO
63,Argentina,Juan Manuel  Fangio ,Maserati,1:41.800,1958,FAN
64,Monaco,Mike  Hawthorn ,Ferrari,1:40.600,1958,HAW
65,Netherlands,Stirling  Moss ,Vanwall,1:37.600,1958,MOS
66,Indianapolis 500,Tony Bettenhausen ,Epperly Offenhauser,1:02.370,1958,BET
67,Belgium,Mike  Hawthorn ,Ferrari,3:58.300,1958,HAW
68,France,Mike  Hawthorn ,Ferrari,2:24.900,1958,HAW
69,Great Britain,Mike  Hawthorn ,Ferrari,1:40.800,1958,HAW
70,Germany,Stirling  Moss ,Vanwall,9:09.200,1958,MOS
71,Portugal,Mike  Hawthorn ,Ferrari,2:32.270,1958,HAW
72,Italy,Phil  Hill ,Ferrari,1:42.900,1958,HIL
73,Morocco,Stirling  Moss ,Vanwall,2:22.500,1958,MOS
74,Monaco,Jack  Brabham ,Cooper Climax,1:40.400,1959,BRA
75,Indianapolis 500,Johnny  Thomson ,Lesovsky Offenhauser,1:01.890,1959,THO
76,Netherlands,Stirling  Moss ,Cooper Climax,1:36.700,1959,MOS
77,France,Stirling  Moss ,BRM,2:22.800,1959,MOS
78,Great Britain,Stirling  Moss ,BRM,1:57.000,1959,MOS
79,Germany,Tony  Brooks ,Ferrari,2:04.500,1959,BRO
80,Portugal,Stirling  Moss ,Cooper Climax,2:05.070,1959,MOS
81,Italy,Phil  Hill ,Ferrari,1:40.400,1959,HIL
82,United States,Maurice Trintignant ,Cooper Climax,3:05.000,1959,TRI
83,Argentina,Stirling  Moss ,Cooper Climax,1:38.900,1960,MOS
84,Monaco,Bruce  McLaren ,Lotus Climax,1:36.200,1960,MCL
85,Indianapolis 500,Jim  Rathmann ,Watson Offenhauser,1:01.590,1960,RAT
86,Netherlands,Stirling  Moss ,Lotus Climax,1:33.800,1960,MOS
87,Belgium,Phil  Hill ,Ferrari,3:51.900,1960,HIL
88,France,Jack  Brabham ,Cooper Climax,2:17.500,1960,BRA
89,Great Britain,Graham  Hill ,BRM,1:34.400,1960,HIL
90,Portugal,John  Surtees ,Lotus Climax,2:27.530,1960,SUR
91,Italy,Phil  Hill ,Ferrari,2:43.600,1960,HIL
92,United States,Jack  Brabham ,Cooper Climax,1:56.300,1960,BRA
93,Monaco,Richie  Ginther ,Ferrari,1:36.300,1961,GIN
94,Netherlands,Jim  Clark ,Lotus Climax,1:35.500,1961,CLA
95,Belgium,Richie  Ginther ,Ferrari,3:59.800,1961,GIN
96,France,Phil  Hill ,Ferrari,2:27.100,1961,HIL
97,Great Britain,Tony  Brooks ,BRM Climax,1:57.800,1961,BRO
98,Germany,Phil  Hill ,Ferrari,8:57.800,1961,HIL
99,Italy,Giancarlo  Baghetti ,Ferrari,2:48.400,1961,BAG
100,United States,Jack  Brabham ,Cooper Climax,1:18.200,1961,BRA
101,Netherlands,Bruce  McLaren ,Cooper Climax,1:34.400,1962,MCL
102,Monaco,Jim  Clark ,Lotus Climax,1:35.500,1962,CLA
103,Belgium,Jim  Clark ,Lotus Climax,3:55.600,1962,CLA
104,France,Graham  Hill ,BRM,2:16.900,1962,HIL
105,Great Britain,Jim  Clark ,Lotus Climax,1:55.000,1962,CLA
106,Germany,Graham  Hill ,BRM,10:12.200,1962,HIL
107,Italy,Graham  Hill ,BRM,1:42.300,1962,HIL
108,United States,Jim  Clark ,Lotus Climax,1:15.000,1962,CLA
109,South Africa,Jim  Clark ,Lotus Climax,1:31.000,1962,CLA
110,Monaco,John  Surtees ,Ferrari,1:34.500,1963,SUR
111,Belgium,Jim  Clark ,Lotus Climax,3:58.100,1963,CLA
112,Netherlands,Jim  Clark ,Lotus Climax,1:33.700,1963,CLA
113,France,Jim  Clark ,Lotus Climax,2:21.600,1963,CLA
114,Great Britain,John  Surtees ,Ferrari,1:36.000,1963,SUR
115,Germany,John  Surtees ,Ferrari,8:47.000,1963,SUR
116,Italy,Jim  Clark ,Lotus Climax,1:38.900,1963,CLA
117,United States,Jim  Clark ,Lotus Climax,1:14.500,1963,CLA
118,Mexico,Jim  Clark ,Lotus Climax,1:58.100,1963,CLA
119,South Africa,Dan  Gurney ,Brabham Climax,1:29.100,1963,GUR
120,Monaco,Graham  Hill ,BRM,1:33.900,1964,HIL
121,Netherlands,Jim  Clark ,Lotus Climax,1:32.800,1964,CLA
122,Belgium,Dan  Gurney ,Brabham Ford,3:49.200,1964,GUR
123,France,Jack  Brabham ,Brabham Ford,2:11.400,1964,BRA
124,Great Britain,Jim  Clark ,Lotus Climax,1:38.800,1964,CLA
125,Germany,John  Surtees ,Ferrari,8:39.000,1964,SUR
126,Austria,Dan  Gurney ,Brabham Ford,1:10.560,1964,GUR
127,Italy,John  Surtees ,Ferrari,1:38.800,1964,SUR
128,United States,Jim  Clark ,Lotus Climax,1:12.700,1964,CLA
129,Mexico,Jim  Clark ,Lotus Climax,1:58.370,1964,CLA
130,South Africa,Jim  Clark ,Lotus Climax,1:27.600,1965,CLA
131,Monaco,Graham  Hill ,BRM,1:31.700,1965,HIL
132,Belgium,Jim  Clark ,Lotus Climax,4:12.900,1965,CLA
133,France,Jim  Clark ,Lotus Climax,3:18.900,1965,CLA
134,Great Britain,Graham  Hill ,BRM,1:32.200,1965,HIL
135,Netherlands,Jim  Clark ,Lotus Climax,1:30.600,1965,CLA
136,Germany,Jim  Clark ,Lotus Climax,8:24.100,1965,CLA
137,Italy,Jim  Clark ,Lotus Climax,1:36.400,1965,CLA
138,United States,Graham  Hill ,BRM,1:11.900,1965,HIL
139,Mexico,Dan  Gurney ,Brabham Climax,1:55.840,1965,GUR
140,Monaco,Lorenzo  Bandini ,Ferrari,1:29.800,1966,BAN
141,Belgium,John  Surtees ,Ferrari,4:18.700,1966,SUR
142,France,Lorenzo  Bandini ,Ferrari,2:11.300,1966,BAN
143,Great Britain,Jack  Brabham ,Brabham Climax,1:37.000,1966,BRA
144,Netherlands,Denny  Hulme ,Brabham Climax,1:30.600,1966,HUL
145,Germany,John  Surtees ,Cooper Maserati,8:49.000,1966,SUR
146,Italy,Ludovico  Scarfiotti ,Ferrari,1:32.400,1966,SCA
147,United States,John  Surtees ,Cooper Maserati,1:09.670,1966,SUR
148,Mexico,Richie  Ginther ,Honda,1:53.750,1966,GIN
149,South Africa,Denny  Hulme ,Brabham Repco,1:29.900,1967,HUL
150,Monaco,Jim  Clark ,Lotus Climax,1:29.500,1967,CLA
151,Netherlands,Jim  Clark ,Lotus Climax,1:28.080,1967,CLA
152,Belgium,Dan  Gurney ,Eagle Climax,3:31.900,1967,GUR
153,France,Graham  Hill ,Lotus Climax,1:36.700,1967,HIL
154,Great Britain,Denny  Hulme ,Brabham Repco,1:27.000,1967,HUL
155,Germany,Dan  Gurney ,Eagle Climax,8:15.100,1967,GUR
156,Canada,Jim  Clark ,Lotus Climax,1:23.100,1967,CLA
157,Italy,Jim  Clark ,Lotus Climax,1:28.500,1967,CLA
158,United States,Graham  Hill ,Lotus Climax,1:06.000,1967,HIL
159,Mexico,Jim  Clark ,Lotus Climax,1:48.130,1967,CLA
160,South Africa,Jim  Clark ,Lotus Ford,1:23.700,1968,CLA
161,Spain,Jean-Pierre  Beltoise ,Matra Ford,1:28.300,1968,BEL
162,Monaco,Richard  Attwood ,BRM,1:28.100,1968,ATT
163,Belgium,John  Surtees ,Honda,3:30.500,1968,SUR
164,Netherlands,Jean-Pierre  Beltoise ,Matra Ford,1:45.910,1968,BEL
165,France,Pedro  Rodriguez ,BRM,2:11.500,1968,ROD
166,Great Britain,Jo  Siffert ,Lotus Ford,1:29.700,1968,SIF
167,Germany,Jackie  Stewart ,Matra Ford,9:36.000,1968,STE
168,Italy,Jackie  Oliver ,Lotus Ford,1:26.500,1968,OLI
169,Canada,Jo  Siffert ,Lotus Ford,1:35.100,1968,SIF
170,United States,Jackie  Stewart ,Matra Ford,1:05.220,1968,STE
171,Mexico,Jo  Siffert ,Lotus Ford,1:44.230,1968,SIF
172,South Africa,Jackie  Stewart ,Matra Ford,1:21.600,1969,STE
173,Spain,Jochen  Rindt ,Lotus Ford,1:28.300,1969,RIN
174,Monaco,Jackie  Stewart ,Matra Ford,1:25.100,1969,STE
175,Netherlands,Jackie  Stewart ,Matra Ford,1:22.940,1969,STE
176,France,Jackie  Stewart ,Matra Ford,3:02.700,1969,STE
177,Great Britain,Jackie  Stewart ,Matra Ford,1:21.300,1969,STE
178,Germany,Jacky  Ickx ,Brabham Climax,7:43.800,1969,ICK
179,Italy,Jean-Pierre  Beltoise ,Matra Ford,1:25.200,1969,BEL
180,Canada,Jacky  Ickx ,Brabham Climax,1:18.100,1969,ICK
181,United States,Jochen  Rindt ,Lotus Ford,1:04.340,1969,RIN
182,Mexico,Jacky  Ickx ,Brabham Climax,1:43.050,1969,ICK
183,South Africa,John  Surtees ,McLaren Ford,1:20.800,1970,SUR
184,Spain,Jack  Brabham ,Brabham Ford,1:24.300,1970,BRA
185,Monaco,Jochen  Rindt ,Lotus Ford,1:23.200,1970,RIN
186,Belgium,Chris  Amon ,March Ford,3:27.400,1970,AMO
187,Netherlands,Jacky  Ickx ,Ferrari,1:19.230,1970,ICK
188,France,Jack  Brabham ,Brabham Ford,3:00.750,1970,BRA
189,Great Britain,Jack  Brabham ,Brabham Ford,1:25.900,1970,BRA
190,Germany,Jacky  Ickx ,Ferrari,2:00.500,1970,ICK
191,Austria,Jacky  Ickx ,Ferrari,1:40.400,1970,ICK
192,Italy,Clay  Regazzoni ,Ferrari,1:25.200,1970,REG
193,Canada,Clay  Regazzoni ,Ferrari,1:32.200,1970,REG
194,United States,Jacky  Ickx ,Ferrari,1:02.740,1970,ICK
195,Mexico,Jacky  Ickx ,Ferrari,1:43.110,1970,ICK
196,South Africa,Mario  Andretti ,Ferrari,1:20.300,1971,AND
197,Spain,Jacky  Ickx ,Ferrari,1:25.100,1971,ICK
198,Monaco,Jackie  Stewart ,Tyrrell Ford,1:22.200,1971,STE
199,Netherlands,Jacky  Ickx ,Ferrari,1:34.950,1971,ICK
200,France,Jackie  Stewart ,Tyrrell Ford,1:54.090,1971,STE
201,Great Britain,Jackie  Stewart ,Tyrrell Ford,1:19.900,1971,STE
202,Germany,Francois Cevert,Tyrrell Ford,7:20.100,1971,CEV
203,Austria,Jo  Siffert ,BRM,1:38.470,1971,SIF
204,Italy,Henri  Pescarolo ,March Ford,1:23.800,1971,PES
205,Canada,Denny  Hulme ,McLaren Ford,1:43.500,1971,HUL
206,United States,Jacky  Ickx ,Ferrari,1:43.474,1971,ICK
207,Argentina,Jackie  Stewart ,Tyrrell Ford,1:13.660,1972,STE
208,South Africa,Mike  Hailwood ,Surtees Ford,1:18.900,1972,HAI
209,Spain,Jacky  Ickx ,Ferrari,1:21.010,1972,ICK
210,Monaco,Jean-Pierre  Beltoise ,BRM,1:40.000,1972,BEL
211,Belgium,Chris  Amon ,Matra,1:12.120,1972,AMO
212,France,Chris  Amon ,Matra,2:53.900,1972,AMO
213,Great Britain,Jackie  Stewart ,Tyrrell Ford,1:24.000,1972,STE
214,Germany,Jacky  Ickx ,Ferrari,7:13.600,1972,ICK
215,Austria,Denny  Hulme ,McLaren Ford,1:38.320,1972,HUL
216,Italy,Jacky  Ickx ,Ferrari,1:36.300,1972,ICK
217,Canada,Jackie  Stewart ,Tyrrell Ford,1:15.700,1972,STE
218,United States,Jackie  Stewart ,Tyrrell Ford,1:41.644,1972,STE
219,Argentina,Emerson  Fittipaldi ,Lotus Ford,1:11.220,1973,FIT
220,Brazil,Emerson  Fittipaldi ,Lotus Ford,2:35.000,1973,FIT
221,South Africa,Emerson  Fittipaldi ,Lotus Ford,1:17.100,1973,FIT
222,Spain,Ronnie  Peterson ,Lotus Ford,1:23.800,1973,PET
223,Belgium,Francois Cevert,Tyrrell Ford,1:25.420,1973,CEV
224,Monaco,Emerson  Fittipaldi ,Lotus Ford,1:28.100,1973,FIT
225,Sweden,Denny  Hulme ,McLaren Ford,1:26.146,1973,HUL
226,France,Denny  Hulme ,McLaren Ford,1:50.990,1973,HUL
227,Great Britain,James  Hunt ,March Ford,1:18.600,1973,HUN
228,Netherlands,Ronnie  Peterson ,Lotus Ford,1:20.310,1973,PET
229,Germany,Carlos  Pace ,Surtees Ford,7:11.400,1973,PAC
230,Austria,Carlos  Pace ,Surtees Ford,1:37.290,1973,PAC
231,Italy,Jackie  Stewart ,Tyrrell Ford,1:35.300,1973,STE
232,Canada,Emerson  Fittipaldi ,Lotus Ford,1:15.496,1973,FIT
233,United States,James  Hunt ,March Ford,1:41.652,1973,HUN
234,Argentina,Clay  Regazzoni ,Ferrari,1:52.100,1974,REG
235,Brazil,Clay  Regazzoni ,Ferrari,2:36.050,1974,REG
236,South Africa,Carlos  Reutemann ,Brabham Ford,1:18.160,1974,REU
237,Spain,Niki  Lauda ,Ferrari,1:20.830,1974,LAU
238,Belgium,Denny  Hulme ,McLaren Ford,1:11.310,1974,HUL
239,Monaco,Ronnie  Peterson ,Lotus Ford,1:27.900,1974,PET
240,Sweden,Patrick  Depailler ,Tyrrell Ford,1:27.262,1974,DEP
241,Netherlands,Ronnie  Peterson ,Lotus Ford,1:21.440,1974,PET
242,France,Jody  Scheckter ,Tyrrell Ford,1:00.000,1974,SCH
243,Great Britain,Niki  Lauda ,Ferrari,1:21.100,1974,LAU
244,Germany,Jody  Scheckter ,Tyrrell Ford,7:11.100,1974,SCH
245,Austria,Clay  Regazzoni ,Ferrari,1:37.220,1974,REG
246,Italy,Carlos  Pace ,Brabham Ford,1:34.200,1974,PAC
247,Canada,Niki  Lauda ,Ferrari,1:13.659,1974,LAU
248,United States,Carlos  Pace ,Brabham Ford,1:40.608,1974,PAC
249,Argentina,James  Hunt ,Hesketh Ford,1:50.910,1975,HUN
250,Brazil,Jean-Pierre  Jarier ,Shadow Matra,2:34.160,1975,JAR
251,South Africa,Carlos  Pace ,Brabham Ford,1:17.200,1975,PAC
252,Spain,Mario  Andretti ,Parnelli Ford,1:25.100,1975,AND
253,Monaco,Patrick  Depailler ,Tyrrell Ford,1:28.670,1975,DEP
254,Belgium,Clay  Regazzoni ,Ferrari,1:26.760,1975,REG
255,Sweden,Niki  Lauda ,Ferrari,1:28.267,1975,LAU
256,Netherlands,Niki  Lauda ,Ferrari,1:21.540,1975,LAU
257,France,Jochen  Mass ,McLaren Ford,1:50.600,1975,MAS
258,Great Britain,Clay  Regazzoni ,Ferrari,1:20.900,1975,REG
259,Germany,Clay  Regazzoni ,Ferrari,7:06.400,1975,REG
260,Austria,Vittorio  Brambilla ,March Ford,1:53.900,1975,BRA
261,Italy,Clay  Regazzoni ,Ferrari,1:33.100,1975,REG
262,United States,Emerson  Fittipaldi ,McLaren Ford,1:43.374,1975,FIT
263,Brazil,Jean-Pierre  Jarier ,Shadow Ford,2:35.070,1976,JAR
264,South Africa,Niki  Lauda ,Ferrari,1:17.970,1976,LAU
265,USA West,Clay  Regazzoni ,Ferrari,1:23.076,1976,REG
266,Spain,Jochen  Mass ,McLaren Ford,1:20.930,1976,MAS
267,Belgium,Niki  Lauda ,Ferrari,1:25.980,1976,LAU
268,Monaco,Clay  Regazzoni ,Ferrari,1:30.280,1976,REG
269,Sweden,Mario  Andretti ,Lotus Ford,1:28.002,1976,AND
270,France,Niki  Lauda ,Ferrari,1:51.000,1976,LAU
271,Great Britain,Niki  Lauda ,Ferrari,1:19.910,1976,LAU
272,Germany,Jody  Scheckter ,Tyrrell Ford,7:10.800,1976,SCH
273,Austria,James  Hunt ,McLaren Ford,1:35.910,1976,HUN
274,Netherlands,Clay  Regazzoni ,Ferrari,1:22.590,1976,REG
275,Italy,Ronnie  Peterson ,March Ford,1:41.300,1976,PET
276,Canada,Patrick  Depailler ,Tyrrell Ford,1:13.817,1976,DEP
277,USA East,James  Hunt ,McLaren Ford,1:42.851,1976,HUN
278,Japan,Jacques  Laffite ,Ligier Matra,1:19.970,1976,LAF
279,Argentina,James  Hunt ,McLaren Ford,1:51.060,1977,HUN
280,Brazil,James  Hunt ,McLaren Ford,2:34.550,1977,HUN
281,South Africa,John  Watson ,Brabham Alfa Romeo,1:17.630,1977,WAT
282,USA West,Niki  Lauda ,Ferrari,1:22.753,1977,LAU
283,Spain,Jacques  Laffite ,Ligier Matra,1:20.810,1977,LAF
284,Monaco,Jody  Scheckter ,Wolf Ford,1:31.070,1977,SCH
285,Belgium,Gunnar  Nilsson ,Lotus Ford,1:27.540,1977,NIL
286,Sweden,Mario  Andretti ,Lotus Ford,1:27.607,1977,AND
287,France,Mario  Andretti ,Lotus Ford,1:13.750,1977,AND
